Name,Speaker,Display,Japanese,Translation,KR
a0111.nss,,,　生まれ育った街には、見渡す限り思い出が詰まっている。,I've lived my whole life here. Every inch of this city is packed with nostalgic memories.,태어나 자란 마을에는 시선이 닿는 곳마다 추억으로 가득 차 있다.
a0111.nss,,,　それを見ていると、とても心が安らぐのだ。,"The longer I look out at it, the calmer I feel.",그저 바라보고 있으면 마음이 정말 편안해진다.
a0111.nss,,,　誰も立候補者がおらず、何となくの投票で推薦された美化委員に、こんな役得があるとは思わなかった。,"When they randomly voted me onto the campus clean-up committee, I wasn't exactly eager—but if I'd known about this little side perk sooner, maybe I would have volunteered for the job.",아무도 입후보를 하지 않아 추천으로 뽑힌 미화위원에게 이런 이득이 있을 줄은 몰랐다.
a0111.nss,,,　鍵を持っているのは、屋上に備品を出し入れする美化委員と、天体観測をする天文部だけ。,Roof access is only granted to two groups: the astronomy club (for stargazing) and the clean-up committee (in order to haul desks in and out).,옥상 열쇠를 가지고 있는 건 비품을 옮기는 미화위원과 천체관측을 하는 천문부뿐.
a0111.nss,,,　――というのが建前だが、実は裏でいくつかの合い鍵が作られているらしい。,"That said, I'm told there are plenty of spare keys floating around if you know where to look.","그게 교칙이었지만, 실은 열쇠 몇 개가 몰래 복사되어 돌아다닌다고 한다."
a0111.nss,,,　なぜならばこの屋上には、とある噂があるのだ。,"The school roof has a certain legend attached to it, you see.",왜냐하면 이 옥상에는 어떤 소문이 있기 때문이다.
a0111.nss,,,　おかげで俺は、時々鍵を開けるように頼まれたりする。,"As a result, every now and then other students will ask me to unlock the door for them.",덕분에 나는 가끔 옥상을 열어달라는 부탁을 받기도 한다.
a0111.nss,,,　今日やってきたのも、雄太郎の依頼を受けたからだ。,"Hence why I'm up here today, at the behest of my friend Yuutarou.",오늘 올라온 것도 유우타로가 부탁했기 때문이다.
a0111.nss,,,　もっともアイツは、遅刻してるみたいだけど――,"Unfortunately, he seems to be running late—","하기야, 그 녀석은 지각인 것 같지만..."
a0112.nss,,,,,
a0112.nss,Susuki Shinichi,,「ん？」,"""Hmm?""","""응?"""
a0112.nss,,,　入り口のすぐ側に、何かが落ちていた。,I look down.,문 바로 옆에 뭔가가 떨어져 있었다.
a0112.nss,,,　裏返ったスマートフォン。,There's a cell phone lying facedown on the ground by the door.,뒤집힌 스마트폰.
a0112.nss,,,　誰が落としたんだろう？,Whose is this?,누가 떨어트린 거지?
a0112.nss,,,　しゃがんで手に取ってみる。,I crouch down and pick it up.,나는 쭈그려 앉아 스마트폰을 집어 들었다.
a0112.nss,Susuki Shinichi,,「…………」,"""......""","""......"""
a0112.nss,,,　「カミサマ」からの着信だった。,"There's an incoming call from ""God.""","""신님""에게서 온 전화였다."
a0112.nss,,,　――神様？,...From God???,...신님???
a0112.nss,,,　電話に出るまでもなく、発信は切れた。,"Before I can answer, the ringing stops.",받기도 전에 전화가 끊어졌다.
a0112.nss,,,　ちょっと、ホッとしたというのが、本音だけど。,"Admittedly, I'm a little relieved.",살짝 안심했다.
a0112.nss,,,　それで一体、誰の携帯だ？,"Seriously, whose phone is this?","그래서, 도대체 누구 거야?"
a0112.nss,,CHOICE,"""電話をかける"",""通話履歴を見る""","""Place a phone call"",""Check the call history""","""전화를 건다"",""통화내역을 본다"""
a0113.nss,,,,,
a0113.nss,,,　通話履歴を見てみると――,I decide to check the call history.,통화내역을 열어봤다.
a0113.nss,,,　「カミサマ」,"""God""","""신님."""
a0113.nss,,,　「カミサマ」,"""God""","""신님."""
a0113.nss,,,　「カミサマ」,"""God""","""신님."""
a0113.nss,,,　「カミサマ」,"""God""","""신님."""
a0113.nss,,,　――なんだ、これは。,...What the heck?,"...뭐야, 이건?"
a0113.nss,,,　続いて電話帳をチェックする。,"Next, I check the address book.",이어서 전화번호부를 확인했다.
a0113.nss,,,　登録されているアドレスはひとつ。,There's only one entry.,등록된 번호는 단 하나.
a0113.nss,,,　「カミサマ」だ。,"Yep, you guessed it. ""God.""","""신님""이다."
a0113.nss,,,　――神様専用か？,...A burner phone for God?,...신님 전용인가?
a0113.nss,,,　まさか、ホントに神様の持ち物ってことはないよな？,There's no way this ACTUALLY belongs to the big man upstairs—right?,"설마, 진짜로 신의 소유물이라든지... 그건 아니겠지?"
a0113.nss,Susuki Shinichi,,「――ん？」,"""...Hm?""","""...응?"""
a0113.nss,Mukou Aoi,,『るる』,"""Boop boop...""","""루루..."""
a0113.nss,Susuki Shinichi,,「…………」,"""......""","""......"""
a0113.nss,,,　彼女の瞳が、俺に向けられた。,A girl looks back at me.,그 애의 시선이 나를 향했다.
a0113.nss,Mukou Aoi,,『デンチ、きれたの』,"""My battery is dying.""","""전지, 다 됐어."""
a0113.nss,Susuki Shinichi,,「電池？」,"""What battery...?""","""전지...?"""
a0113.nss,Mukou Aoi,,『ジュウデン、ひつようなの』,"""Need to recharge.""","""충전, 필요한 거야."""
a0113.nss,Mukou Aoi,,『ビリビリ、するの？』,"""Wanna... get zappy?""","""찌릿찌릿, 하는 거야?"""
a0113.nss,,,　間違ったボタンを押してしまったらしい。,I think I pushed the wrong button by accident.,버튼을 잘못 눌렀나 보다.
a0113.nss,,,　起動したのは、いわゆる「萌え」なゲームだった。,"Looks like I launched one of those ""visual novel"" games.","켜버린 건 이른바 ""모에""게임이었다."
a0113.nss,,,　友達が携帯ゲーム機でやっているのは見たことがある。,I've seen some friends play these on handheld game consoles.,친구가 게임기로 하는 걸 본 적이 있다.
a0113.nss,,,　スマートフォンでもおかしくはないだろう。,"Wouldn't be surprised if they made the jump to mobile, too.",스마트폰에 있어도 이상하진 않을 터.
a0113.nss,,,　俺はプレイしたことがないけれど。,I've never played one myself.,나는 해본 적 없지만.
a0113.nss,,,　ないはず……なのに……,At least... I don't think I have...,없을... 텐데...
a0113.nss,,,　でも、この制服は見たことがあるような……,But I feel like I recognize that uniform...,"근데 이 교복, 왠지 본 것 같은 기분이..."
a0113.nss,Susuki Shinichi,,「知ってる……？」,"""Do I know you...?""","""알고 있어...?"""
a0113.nss,Mukou Aoi,,「とうおるるるるるるるるるるるるるる……」,"""Boop boop boop boop boop boop boop boop boop boop boop boop boop boop boop...""","""두루루루 루루루루루 루루루루 루루루..."""
a0113.nss,,,　奇妙な声が、届いた。,I can hear a strange voice.,이상한 목소리가 들렸다.
a0113.nss,Mukou Aoi,,「とうおるるるるるるるるるるるるるる……」,"""Boop boop boop boop boop boop boop boop boop boop boop boop boop boop boop...""","""두루루루 루루루루루 루루루루 루루루..."""
a0113.nss,,,　少女が手を挙げていた。,There's a girl up on the roof over the stairs.,한 소녀가 손을 들고 있었다.
a0113.nss,,,　屋上のさらに上、階段の屋根で。,Raising her hand straight in the air.,옥상보다 위에 있는 계단 지붕에서.
a0113.nss,,,　表情には、どんな色も浮かべることなく。,Her expression totally blank.,어떠한 표정도 짓지 않은 채로.
a0113.nss,,,　瞳は焦点を結ばず、ただ空を――,Just staring vacantly into the sky...,눈동자는 초점 없이 그저 하늘을...
a0113.nss,,,　いや、空のさらに向こうを見ているようで。,Staring at whatever lies beyond...,"아니, 그보다 더 먼 곳을 바라보듯이..."
a0113.nss,Mukou Aoi,,「とうおる……るるる……るる……る……」,"""Boop boop... boop boop boop... boop boop... boop...""","""두루루루... 루루루... 루루... 루..."""
a0113.nss,Susuki Shinichi,,「え……？」,"""Huh...?""","""응...?"""
a0113.nss,,,　身体が、左右に揺れ始める。,Her body starts to sway.,몸이 좌우로 흔들리기 시작한다.
a0113.nss,,,　唇から漏れる謎の音も、徐々に小さくなり――,Her voice is fading...,입술에서 새어나오는 이상한 소리도 점점 작아지고...
a0113.nss,Mukou Aoi,,「と……る……る……ぅ…………」,"""Boop... boop... boop... b...""","""두... 루... 루..."""
a0113.nss,Mukou Aoi,,「るる…………」,"""Boop boop...""","""루루..."""
a0113.nss,Susuki Shinichi,,「やば――！」,"""Whoa—!""","""위험해!!"""
a0113.nss,Susuki Shinichi,,「ん……つつつ……」,"""Nng... Ow...""","""으으으..."""
a0113.nss,Susuki Shinichi,,「だ……大丈夫か？」,"""Y-You alright?""","""괘... 괜찮아?"""
a0113.nss,Mukou Aoi,,「るる」,"""Boop boop...""","""루루."""
a0113.nss,Susuki Shinichi,,「…………」,"""......""","""......"""
a0113.nss,,,　彼女の瞳が、俺にピントを合わせた。,Her eyes lock onto mine.,그 애는 시선을 내게 고정했다.
a0113.nss,Mukou Aoi,,「デンチ、きれたの」,"""My battery is dying.""","""전지, 다 됐어."""
a0113.nss,Susuki Shinichi,,「電池？」,"""What battery...?""","""전지...?"""
a0113.nss,Mukou Aoi,,「ジュウデン、ひつようなの」,"""Need to recharge.""","""충전, 필요한 거야."""
a0113.nss,,,　顔が、近い。,Her face is so close to mine.,얼굴이 가깝다.
a0113.nss,,,　息が、かかる。,I can feel her breath on my skin.,숨이 닿는다.
a0113.nss,,,　唇が、すぐそこに。,Her lips are inches away.,입술이 바로 눈앞에.
a0113.nss,,,　学校中に広まる伝説。,According to the school legend...,학교에 퍼져있는 전설...
a0113.nss,,,　――屋上でキスすると、ふたりは永遠に結ばれる。,"...if two people share a kiss on the roof, they'll spend the rest of their lives together.","옥상에서 키스하면, 두 사람은 영원히 맺어진다."
a0113.nss,Mukou Aoi,,「ビリビリ、するの？」,"""Wanna... get zappy?""","""찌릿찌릿, 하는 거야?"""
a0113.nss,,CHOICE,"""ビリビリする"",""ビリビリしない""","""Get zappy"",""Don't get zappy""","""찌릿찌릿한다"",""찌릿찌릿하지 않는다"""
a0113t.nss,,,,,
a0113t.nss,,CHOICE,"""チートコード入力成功"",""チートコード入力失敗"",""アオイのコールナンバー""","""Enter correct cheat code"",""Enter incorrect cheat code"",""Enter Aoi's number""","""치트코드 입력성공"",""치트코드 입력실패"",""아오이의 콜 넘버"""
a0113u.nss,,,,,
a0113u.nss,Susuki Shinichi,,「…………あれ？」,"""......What the?""","""......어라?"""
a0113u.nss,,,　電話番号を間違えたのだろうか？,Did I misdial?,번호를 잘못 눌렀나?
a0113u.nss,,,　いや、それにしたって妙だ。,"No, wait... Even if I did, this still doesn't make sense.","아니, 그렇다 하더라도 이상하다."
a0113u.nss,,,　間違えたにしても、電波が届かないにしても、その旨のメッセージが流れるはずだ。,"Whenever there's a problem connecting a call, normally you're supposed to hear one of those automated messages, right?","번호가 틀렸더라도, 전파가 닿지 않더라도, 그에 맞는 음성이 흘러나와야 한다."
a0113u.nss,,,　まるで、携帯電話が壊れているような……,It's like this phone is broken or something...,마치 핸드폰이 고장이라도 난 것 같이...
a0113v.nss,,,,,
a0113v.nss,God,,『チートコードの入力を確認』,"""CHEAT CODE CONFIRMED.""","""치트 코드 입력 확인."""
a0113v.nss,,,　突然、携帯電話から言葉が聞こえ始める。,"Just then, I hear a voice on the other end of the line.","돌연, 핸드폰에서 목소리가 들리기 시작했다."
a0113v.nss,God,,『セカイの強制的アップデートを準備』,"""PREPARING TO FORCE-UPDATE THE UNIVERSE.""","""세계 강제 업데이트를 준비."""
a0113v.nss,Susuki Shinichi,,「アップデート……？」,"""Update... the universe...?""","""업데이트...?"""
a0113v.nss,God,,"『改変は不可逆。
　一度アップデートすれば、通常プレイは不可能』","""THIS UPDATE IS IRREVERSIBLE.
ONCE COMPLETE, REGULAR PLAY WILL BE DISABLED.""","""변경은 불가역.
한번 업데이트하면 일반 플레이는 불가능."""
a0113v.nss,God,,『警告。主体者が正常な体験を希望するなら、即時のゲーム終了を強く推奨』,"""WARNING. SHOULD THE SUBJECT WISH TO EXPERIENCE THE WORLD AS INTENDED, IT IS STRONGLY ENCOURAGED TO CLOSE THE GAME IMMEDIATELY.""","""경고. 주체자가 정상적인 체험을 원한다면, 즉시 게임 종료할 것을 적극 권장."""
a0113v.nss,Susuki Shinichi,,「は？　ちょっと、何言ってるんだ？」,"""I'm sorry, what? What are you talking about?""","""뭐라고? 잠깐, 이게 무슨 소리야?"""
a0113v.nss,God,,『再警告。即時のゲーム終了を強く推奨』,"""AGAIN, IT IS STRONGLY ENCOURAGED TO CLOSE THE GAME IMMEDIATELY.""","""재경고. 즉시 게임 종료할 것을 강력히 권장."""
a0113v.nss,God,,『カウントダウン開始』,"""INITIATING COUNTDOWN.""","""카운트 다운 개시."""
a0113v.nss,God,,『１０』<Waittime=1000>,"""TEN."" <Waittime=1000>","""10""<Waittime=1000>"
a0113v.nss,God,,『９』<Waittime=1000>,"""NINE."" <Waittime=1000>","""9"" <Waittime=1000>"
a0113v.nss,God,,『８』<Waittime=1000>,"""EIGHT."" <Waittime=1000>","""8""<Waittime=1000>"
a0113v.nss,God,,『７』<Waittime=1000>,"""SEVEN."" <Waittime=1000>","""7""<Waittime=1000>"
a0113v.nss,God,,『６』<Waittime=1000>,"""SIX."" <Waittime=1000>","""6""<Waittime=1000>"
a0113v.nss,God,,『５』<Waittime=1000>,"""FIVE."" <Waittime=1000>","""5""<Waittime=1000>"
a0113v.nss,God,,『４』<Waittime=1000>,"""FOUR."" <Waittime=1000>","""4""<Waittime=1000>"
a0113v.nss,God,,『３』<Waittime=1000>,"""THREE."" <Waittime=1000>","""3""<Waittime=1000>"
a0113v.nss,God,,『２』<Waittime=1000>,"""TWO."" <Waittime=1000>","""2""<Waittime=1000>"
a0113v.nss,God,,『１』<Waittime=1000>,"""ONE."" <Waittime=1000>","""1""<Waittime=1000>"
a0113v.nss,God,,『０』,"""ZERO.""","""0"""
a0113w.nss,,,,,
a0113w.nss,Susuki Shinichi,,「あ……もしもし？」,"""Uh... hello?""","""어... 여보세요?"""
a0113w.nss,,,　適当に番号を押したら、繋がってしまった。,"Oh god, I dialed a random number and they actually picked up!",아무 번호나 눌렀는데 전화가 걸려버렸다.
a0113w.nss,Susuki Shinichi,,「えっと――」,"""Uhh...""","""저기..."""
a0113w.nss,Mukou Aoi,,『シンイチ』,"""Shinichi...""","""신이치..."""
a0113w.nss,Mukou Aoi,,『アオイたち、オウエンしてるの』,"""We wish you all the best.""","""아오이들, 응원하고 있어."""
a0113w.nss,Susuki Shinichi,,「応援……？」,"""What?""","""응원?"""
a0113w.nss,Mukou Aoi,,『バイバイ』,"""Bye-bye.""","""바이바이."""
a0113w.nss,,,　それっきり、電話が途切れた。,"With that, the line disconnects.",그리고는 전화가 끊어졌다.
a0113w.nss,,,　今のは、誰だったんだ？,Who was that?,누가 받은 거지?
a0113w.nss,,,　アオイなんて知り合い、いたか？,And how did she know my name?,"지인 중에 아오이라는 사람, 있었나?"
a0113w.nss,,,　そもそも、この電話は俺のものじゃない。,"I mean, this phone isn't even mine!","애당초, 이 핸드폰은 내 것이 아니다."
a0113w.nss,,,　なのに何で、彼女は俺の名前を知ってたんだ……？,What the hell...?,그런데 어째서 내 이름을 부른 거지...?
a0113x.nss,,,,,
a0113x.nss,Susuki Shinichi,,「あ……もしもし？」,"""Uh... hello?""","""어... 여보세요?"""
a0113x.nss,,,　適当に番号を押したら、繋がってしまった。,"Oh god, I dialed a random number and they actually picked up!",아무 번호나 눌렀는데 전화가 걸려버렸다.
a0113x.nss,Susuki Shinichi,,「えっと――」,"""Uhh...""","""저기..."""
a0113x.nss,God,,『向日アオイの同期を完了』,"""MUKOU AOI SYNCED SUCCESSFULLY.""","""무코우 아오이 동기화 완료."""
a0113x.nss,God,,『しかし、彼女に発生した感情の完全同期は失敗』,"""NOTE: FAILED TO ROLLBACK EMOTIONAL ERRORS.""","""그러나 그녀에게 생겨난 감정의 완전 동기화는 실패."""
a0113x.nss,Susuki Shinichi,,「完全同期……？」,"""What rollback...?""","""완전 동기화...?"""
a0113x.nss,God,,『完全なバグ。彼女の感情は単独で存在。故に――』,"""DUE TO THE NATURE OF THIS BUG, HER EMOTIONS EXIST INDEPENDENTLY IN THE SYSTEM.""","""명백한 버그. 그녀의 감정은 단독으로 존재."""
a0113x.nss,God,,『「君」と「彼女」は、異なるセカイで、再会可能と推測』,"""AS SUCH, SHOULD THE SUBJECT SO DESIRE...""","""그렇기에, ""당신""과 ""그녀""는 다른 세계에서 재회가 가능할 것으로 추측..."""
a0113x.nss,God,,『もし主体者が、それを希望するなら』,"""IT IS POSSIBLE [YOU] MAY ENCOUNTER [HER] AGAIN... IN ANOTHER UNIVERSE.""","""만약 주체자가 그걸 바란다면."""
a0113x.nss,,,　それっきり、電話が途切れた。,"With that, the line disconnects.",그리고는 전화가 끊어졌다.
a0113x.nss,,,　今のは、誰だったんだ？,Who was that?,누가 받은 거지?
a0113x.nss,,,　完全同期とか、訳のわからないことを言っていたが……,"All that ""bug in the system"" stuff made zero sense to me...","완전 동기화라든가, 영문 모를 소릴 했는데..."
a0114a.nss,,,,,
a0114a.nss,,,　彼女の身体を伝わって、俺の肌に何かが走った。,"Something travels through her body and across my skin, frying all sense of reason to a char.",이 녀석의 몸을 통해 무언가 내 피부에 흘러 들어왔다.
a0114a.nss,,,　面倒な理性も、小難しい理屈も、焼き切れた。,,"귀찮은 이성도, 골치 아픈 이치도 다 태워버렸다."
a0114a.nss,,,　電気の力に引き寄せられるように。,"Pulled in like a magnet, my lips are drawn to hers.",마치 자석에 끌리듯...
a0114a.nss,,,　俺は彼女に、唇を近づけた。,,내 입술은 점점 다가갔다.
a0114b.nss,,,,,
a0114b.nss,,,　……冷静になろう。,"...Okay, let's take a deep breath and calm down.","...좋아, 침착하자."
a0114b.nss,,,　俺は一体、何を求められているのか？,What exactly does this girl want from me?,이 녀석은 대체 나한테 뭘 바라는 거지?
a0114b.nss,,,　彼女は一体、誰なのか？,Who even IS she?,애당초 누군데?
a0114b.nss,,,　そもそもこのシチュエーション、さっきゲームで……,Wait... Isn't this exactly what just happened in that game...?,잠깐... 이 상황은 아까 게임에서......
a0121.nss,,,,,
a0121.nss,Sone Miyuki,,「神聖なる、学舎の、中――」,"""Wow. Is nothing sacred?""","""신성한 교사 안..."""
a0121.nss,Sone Miyuki,,「学校の、屋上で、何してるの？」,"""What exactly are you doing up here on the roof of our esteemed academy?""","""학교 옥상에서 뭐하는 거야?"""
a0121.nss,Susuki Shinichi,,「み、美雪？」,"""M-Miyuki?""","""미, 미유키?"""
a0121.nss,Susuki Shinichi,,「なにって、その」,"""What am I doing? Well...""","""뭐냐니, 그게..."""
a0121.nss,Mukou Aoi,,「ジュウデンなの」,"""Recharging.""","""충전인 거야."""
a0121.nss,Sone Miyuki,,「充電？」,"""What?""","""충전?"""
a0121.nss,Mukou Aoi,,「エッチなの」,"""Having sex.""","""야한 짓이야."""
a0121.nss,Sone Miyuki,,「な！？」,"""What?!""","""뭣!?"""
a0121.nss,Susuki Shinichi,,「は！？」,"""What?!""","""뭐어!?"""
a0121.nss,Mukou Aoi,,「キスは、フラグなの」,"""Kissing triggers the event flag.""","""키스는 플래그인 거야."""
a0121.nss,Sone Miyuki,,「ふざけないで！」,"""I've heard enough!""","""웃기지 마!"""
a0121.nss,,,　バットを振り下ろして、美雪は怒鳴る。,Miyuki swings her baseball bat.,미유키가 방망이를 내려찍으며 소리쳤다.
a0121.nss,Sone Miyuki,,「貴方、心一をなんだと思ってるの！」,"""Don't treat Shinichi like your plaything!""","""너, 신이치를 뭐라고 생각하는 거야!"""
a0121.nss,Susuki Shinichi,,「そ、そうだ！　俺を何だと思ってる！？」,"""Y-Yeah! I'm not your plaything!""","""마, 맞아! 날 뭐로 보고!"""
a0121.nss,Sone Miyuki,,「しっ、心一は――心一はっ――！！」,"""Sh-Shinichi... is... He's...!""","""시, 시, 신이치는...!"""
a0121.nss,Sone Miyuki,,「私の彼氏なのよっ！」,"""He's my boyfriend!""","""내 남자친구라고!"""
a0121.nss,Susuki Shinichi,,「……………………え？」,"""......What?""","""......어?"""
a0121.nss,,,　曽根美雪は、俺の幼馴染み。,I've been friends with Sone Miyuki since we were kids.,소네 미유키는 내 소꿉친구다.
a0121.nss,,,　小学校くらいまではよくふたりで遊んでもいたのだが、年を取るにつれ疎遠になるのは良くある話で。,"In elementary school, we used to play together all the time, but we grew apart as we got older. Happens to a lot of people.","초등학교까지는 자주 같이 놀았지만, 시간이 지날수록 소원해지는 건 자주 있는 이야기."
a0121.nss,,,　俺がだらりだらりと帰宅部生活をしているうちに、彼女はありとあらゆる才能が開花。,"While I've just been skating through life without any hobbies, she's quickly proven she can master anything she tries.",내가 의욕 없는 귀가부 생활을 하는 사이에 미유키는 온갖 재능이 개화.
a0121.nss,,,　眉目秀麗・文武両道・演劇部期待のホープの彼女は、すぐさま学園のアイドルになってしまったのだった。,"With her looks, smarts, athletic ability, and a natural talent for acting, she became the school's queen bee practically overnight.","경국지색, 문무겸비, 연극부의 기대주인 미유키는 곧바로 학교 아이돌이 되어버린 것이다."
a0121.nss,,,　噂では、入学僅か１ヶ月で、１ダースの生徒から告白されたとか。,Rumor has it she received over a dozen love confessions within her first month at this school.,소문으로는 입학한 지 불과 한 달 만에 한 다스나 되는 학생에게 고백을 받았다든지.
a0121.nss,,,　そのうちひとりは男性教師で、さらにふたりは女子生徒だったとか。,I'm told two of them were from girls—and one of them was even from a teacher.,"그 중 한 명은 남자 교사였고, 게다가 두 명은 여학생이라든지."
a0121.nss,,,　それをことごとくフったとか。,"Supposedly, she shot them all down.",그걸 모조리 거절했다든지.
a0121.nss,,,　それでもしつこくつきまとって、挙げ句襲いかかろうとした男子生徒を、金属バットでボコボコにしたとか。,But they say one of the guys refused to take no for an answer—and she was forced to fight him off with a baseball bat.,그럼에도 끈질기게 따라다니던 끝에 덮치려고 한 남학생을 쇠 방망이로 박살을 내버렸다든지.
a0121.nss,,,　まあ、そういう噂のある有名人だ。,"She's so famous, the students here can't seem to stop talking about her.","뭐, 그런 소문이 있는 유명인이다."
a0121.nss,,,　対する俺は、いわゆるクラスの空気。,Then there's me—a total nobody.,"그에 반해, 나는 이른바 반에서 공기 취급."
a0121.nss,,,　……というよりむしろ、窒素のようなポジションだ。,"I'm so invisible, I'm practically air.",...이라기 보단 질소 같은 포지션이다.
a0121.nss,,,　無味無臭無害。,"Bland, inoffensive, barely even there.","무미, 무취, 무해."
a0121.nss,,,　モブ中のモブ、ってところだろう。,An utterly forgettable NPC character in the RPG of life.,학생1 정도라고 할 수 있다.
a0121.nss,,,　クラスでも常に話題の中心にいる彼女とは、会話を交わす機会すらない。,I'm hardly even worthy of breathing the same air as her.,학급에서도 항상 화제의 중심에 있는 미유키와는 대화할 기회조차 없다.
a0121.nss,,,　今だってちょっと緊張しているくらいだ。,Just being around her is making me kind of tense.,지금도 좀 긴장하고 있을 정도다.
a0121.nss,,,　そんな俺が――,"So yeah, I'm like the furthest thing from—",그런 내가...
a0121.nss,Susuki Shinichi,,「か……彼氏？」,"""Your... boyfriend...?""","""네... 남자친구...?"""
a0121.nss,Sone Miyuki,,「黙ってて！」,"""You be quiet!""","""조용히 해!"""
a0121.nss,Sone Miyuki,,"「わ――私と心一は、恋人同士なの。
　貴方は邪魔者ということになるわ」","""Sh-Shinichi and I are in a relationship.
I'm afraid you don't have a chance with him.""","""나, 나랑 신이치는 연인 사이야.
너는 방해꾼이라는 소리지."""
a0121.nss,Sone Miyuki,,「だから、帰ってもらえる？」,"""So could you leave already?""","""그러니, 돌아가 줄래?"""
a0121.nss,Mukou Aoi,,「うそなの」,"""That's not true.""","""거짓말이야."""
a0121.nss,Mukou Aoi,,「コイビトじゃないの」,"""You're not dating.""","""연인이 아닌 거야."""
a0121.nss,Sone Miyuki,,「ちょっと、何を根拠に――」,"""Excuse me? How would you kn—""","""잠깐, 뭘 근거로..."""
a0121.nss,Mukou Aoi,,「デンパなの」,"""I'm a transceiver.""","""전파야."""
a0121.nss,Mukou Aoi,,「せかいのそとからカミサマのデンパ、ビリビリきたの」,"""God sent me a radio transmission from beyond the universe.""","""세계 밖에서 신님의 전파, 찌릿찌릿하고 왔어."""
a0121.nss,,,　えーと……,Uhhhh...,으음...
a0121.nss,,,　これはいわゆる、デンパさん、か？,Seems like she's two corn dogs short of a picnic...,이게 소위 말하는 전파녀...인 건가?
a0121.nss,Sone Miyuki,,「付き合いきれないわ」,"""Whatever. Talking to you is a waste of breath.""","""못 어울려주겠네."""
a0121.nss,Sone Miyuki,,"「いい？　私と心一は幼馴染みなの。
　だから、恋人として――」","""Listen here: Shinichi and I have known each other a long time.
So, as his girlfriend—""","""알겠어? 나랑 신이치는 소꿉친구야.
그러니까 연인으로서..."""
a0121.nss,Mukou Aoi,,「はい」,"""Got it!""","""네에!"""
a0121.nss,,,　美雪の言葉を遮り、彼女がぴんと手を挙げる。,"She raises her hand, interrupting Miyuki.",그 애는 미유키의 말을 가로막으며 손을 번쩍 들었다.
